Unnamed: 0,RowID,Outcome,Intervention,Comparator,Answer,Reasoning,XML
27,51310,side effects,twice weekly single iron tablet,no treatment,no significant difference,Adherence to the regime was 100% according to data provided in the forms for the participants. No side effects were reported throughout the duration of the study.,3233526
28,51310,hemoglobin levels at week 28,weekly supplements of two iron tablets,no treatment,no significant difference,No significant difference was found between the treatment groups for hemoglobin levels at 28 weeks.,3233526
29,51310,hemoglobin levels at week 28,daily single iron tablets,no treatment,no significant difference,No significant difference was found between the treatment groups for hemoglobin levels at 28 weeks.,3233526
30,51310,hemoglobin levels at week 28,twice weekly single iron tablet,no treatment,no significant difference,No significant difference was found between the treatment groups for hemoglobin levels at 28 weeks.,3233526
31,51310,hemoglobin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet,significantly decreased,"When comparing the final levels at 38 weeks, a significant difference was observed between Group B and the other two groups in this iron status indicator (P = 0.035). This difference was also of marginal clinical significance (19.9 μg/L in Group B).",3233526
32,51310,hemoglobin levels at week 38,daily single iron tablets,twice weekly single iron tablet,significantly decreased,"When comparing the final levels at 38 weeks, a significant difference was observed between Group B and the other two groups in this iron status indicator (P = 0.035). This difference was also of marginal clinical significance (19.9 μg/L in Group B).",3233526
33,51310,ferritin levels at week 28,daily single iron tablets,weekly supplements of two iron tablets,significantly increased,"A similar trend was observed for the difference in ferritin levels, in that although daily supplementation led to a significant increase in ferritin at 28 weeks (P = 0.03), this difference was not maintained towards 38 weeks in comparison with the other two regimes.",3233526
34,51310,ferritin levels at week 28,daily single iron tablets,twice weekly single iron tablet,significantly increased,"A similar trend was observed for the difference in ferritin levels, in that although daily supplementation led to a significant increase in ferritin at 28 weeks (P = 0.03), this difference was not maintained towards 38 weeks in comparison with the other two regimes.",3233526
35,51310,ferritin levels at week 38,weekly supplements of two iron tablets,twice weekly single iron tablet,no significant difference,"A similar trend was observed for the difference in ferritin levels, in that although daily supplementation led to a significant increase in ferritin at 28 weeks (P = 0.03), this difference was not maintained towards 38 weeks in comparison with the other two regimes.",3233526
36,51310,ferritin levels at week 38,weekly supplements of two iron tablets,daily single iron tablets,no significant difference,"A similar trend was observed for the difference in ferritin levels, in that although daily supplementation led to a significant increase in ferritin at 28 weeks (P = 0.03), this difference was not maintained towards 38 weeks in comparison with the other two regimes.",3233526
37,51310,ferritin levels at week 38,daily single iron tablets,twice weekly single iron tablet,no significant difference,"A similar trend was observed for the difference in ferritin levels, in that although daily supplementation led to a significant increase in ferritin at 28 weeks (P = 0.03), this difference was not maintained towards 38 weeks in comparison with the other two regimes.",3233526
38,46206,symptoms of RA,golimumab and methotrexate,methotrexate,significantly decreased,The addition of golimumab to methotrexate in patients with active RA despite methotrexate therapy significantly reduced the signs and symptoms of RA and improved physical function.,2674549
39,46206,physical function,golimumab and methotrexate,methotrexate,significantly increased,The addition of golimumab to methotrexate in patients with active RA despite methotrexate therapy significantly reduced the signs and symptoms of RA and improved physical function.,2674549
40,46206,ACR20 ,placebo and methotrexate,Golimumab 100 mg and placebo,no significant difference,,2674549
41,46206,Median HAQ-DI score,placebo and methotrexate,Golimumab 100 mg and placebo,no significant difference,"No difference in the improvement in median HAQ-DI score was observed between group 2 and group 1 (−0.13; p = 0.240). Overall, 38.6% of patients in group 1, 45.3% of patients in group 2 (p = 0.276), 68.2% of patients in group 3 (p<0.001) and 72.1% of patients in group 4 (p<0.001) achieved a reduction in HAQ-DI score of 0.25 or greater.",2674549
42,46206,HAQ-DI score,50mg of Golimumab and methotrexate,placebo and methotrexate,significantly increased,"At week 24, patients in the combined groups 3 and 4 also showed significantly greater improvement in the median HAQ-DI score (−0.44, p<0.001) compared with group 1 (−0.13), with improvements of −0.38 (p = 0.001) in group 3 and −0.50 (p<0.001) in group 4 (table 2).",2674549
43,46206,HAQ-DI score,100mg of Golimumab and methotrexate,placebo and methotrexate,significantly increased,"At week 24, patients in the combined groups 3 and 4 also showed significantly greater improvement in the median HAQ-DI score (−0.44, p<0.001) compared with group 1 (−0.13), with improvements of −0.38 (p = 0.001) in group 3 and −0.50 (p<0.001) in group 4 (table 2).",2674549
44,46206,serious adverse events,100mg of Golimumab and methotrexate,placebo and methotrexate,significantly increased,"The numbers of serious adverse events and serious infections per patient-year were greater in group 4 than in groups 1, 2 or 3; however, the 95% CI were wide and overlapping.",2674549
45,46206,serious adverse events,100mg of Golimumab and methotrexate,Golimumab 100 mg and placebo,significantly increased,"The numbers of serious adverse events and serious infections per patient-year were greater in group 4 than in groups 1, 2 or 3; however, the 95% CI were wide and overlapping.",2674549
46,46206,serious adverse events,100mg of Golimumab and methotrexate,50mg of Golimumab and methotrexate,significantly increased,"The numbers of serious adverse events and serious infections per patient-year were greater in group 4 than in groups 1, 2 or 3; however, the 95% CI were wide and overlapping.",2674549
47,4505,induction-delivery interval,misoprostol,dinoprostone,significantly decreased,"The induction-delivery interval was significantly lower in the misoprostol group than in the dinoprostone group (11.9 h vs. 15.5 h, p < 0.001).",524504
48,4505,number of women who deliver within 12 hours,misoprostol,dinoprostone,significantly increased,"With misoprostol, more women delivered within 12 hours (57.5% vs. 32.5%, p < 0.01) and 24 hours (98.7% vs. 91.4%, p < 0.05)",524504
49,4505,number of women who deliver within 24 hours,misoprostol,dinoprostone,significantly increased,,524504
50,4505,spontaneous rupture of membranes,misoprostol,dinoprostone,significantly increased,"spontaneous rupture of the membranes occurred more frequently (38.8% vs. 20.5%, p < 0.05)",524504
51,4505,administration of oxytocin augmentation,misoprostol,dinoprostone,significantly decreased,"there was less need for oxytocin augmentation (65.8% vs. 81.5%, p < 0.05) and fewer additional doses were required (7.5% vs. 22%, p < 0.05)",524504
52,4505,Caesarean section rate,dinoprostone,misoprostol,no significant difference,"Although not statistically significant, a lower Caesarean section (CS) rate was observed with misoprostol (7.5% vs. 13.3%, p > 0.05) but with the disadvantage of higher abnormal fetal heart rate (FHR) tracings (22.5% vs. 12%, p > 0.05).",524504
53,4505,abnormal fetal heart rate,dinoprostone,misoprostol,no significant difference,"Although not statistically significant, a lower Caesarean section (CS) rate was observed with misoprostol (7.5% vs. 13.3%, p > 0.05) but with the disadvantage of higher abnormal fetal heart rate (FHR) tracings (22.5% vs. 12%, p > 0.05).",524504
54,4505,uterine tachysystole,misoprostol,dinoprostone,significantly increased,"However, uterine tachysystole (p < 0.05)) and meconium stained amniotic fluid (p > 0.05) occurred more often in the misoprostol group as did abnormal heart rate tracing (22.5% vs.12%, p > 0.05)",524504
55,4505,Uterine Hyperstimulation,misoprostol,dinoprostone,no significant difference,Uterine Hyperstimulation 2 (2.5%) 1 (1.2%) NS,524504
56,4505,Meconium stained AF,dinoprostone,misoprostol,no significant difference,Meconium stained AF 15 (18.8%) 7 (9.6%) NS,524504
57,4505,perinatal death,dinoprostone,misoprostol,no significant difference,Perinatal death 0 1(1.2%) NS,524504
58,4505,Neonatal resuscitation,dinoprostone,misoprostol,no significant difference,Neonatal resuscitation 9 (11.3%) 9 (10.8%) NS,524504
59,4505,Core blood pH,dinoprostone,misoprostol,no significant difference,Cord blood pH (arterial)1 7.28 ± 0.05 7.27 ± 0.05 NS,524504
60,4505,Hyperbilirubinemia,dinoprostone,misoprostol,no significant difference,Hyperbilirubinemia 2 9 (11.3%) 5 (6.0%) NS,524504
61,4505,Birth trauma,dinoprostone,misoprostol,no significant difference,Birth trauma 3 0 2 (2.5%) NS,524504
62,2680,rates of vacuum-assisted delivery rate,Meperidine analgesia,epidural analgesia,no significant difference,There was no statistical difference in rates of vacuum-assisted delivery rate.,1764008
63,2680,c-section,Meperidine analgesia,epidural analgesia,no significant difference,"Cesarean deliveries, as a consequence of fetal bradycardia or dystocia, did not differ significantly between the groups.",1764008
64,2680,duration of labor stages,Meperidine analgesia,epidural analgesia,no significant difference,Differences in the duration of the active-first and the second stages of labor were not statistically significant.,1764008
65,2680,oxytocin augmentation,Meperidine analgesia,epidural analgesia,no significant difference,"Administration of epidural analgesia with 1% lidocaine do not prolong the active-first or second stages of labor significantly, and do not increase the incidence of oxytocin augmentation",1764008
66,2680,preanalgesic visual analog pain,Meperidine analgesia,epidural analgesia,no significant difference,"The preanalgesic visual analog pain scale scores were similar between the two study groups (epidural, 9 ± 1.2 vs. intravenous meperidine, 9 ± 1.3; P = 0.09)",1764008
67,2680,pain levels during first stage labor,epidural analgesia,Meperidine analgesia,significantly decreased,"Women who received epidural analgesia reported lower pain scores during the first stage (epidural, 3 ± 3 vs. meperidine, 6 ± 4; P < 0.0001) and second stage (epidural, 4 ± 3 vs. meperidine, 8 ± 2; P < 0.0001) of labor",1764008
68,2680,pain levels during second stage labor,epidural analgesia,Meperidine analgesia,significantly decreased,"Women who received epidural analgesia reported lower pain scores during the first stage (epidural, 3 ± 3 vs. meperidine, 6 ± 4; P < 0.0001) and second stage (epidural, 4 ± 3 vs. meperidine, 8 ± 2; P < 0.0001) of labor",1764008
69,2680,hypotension,epidural analgesia,Meperidine analgesia,significantly increased,Women who received epidural analgesia had a significantly higher incidence of hypotension compared with women who received intravenous meperidine (30% vs. 0; P < 0.0001),1764008
70,2680,nausea and vomiting,Meperidine analgesia,epidural analgesia,no significant difference,There was no significant difference in the incidence of nausea and vomiting between the two groups (epidural 6% vs. meperidine 4%),1764008
71,2680,obstetric outcome,Meperidine analgesia,epidural analgesia,no significant difference,"The higher intensity of the motor block of lidocaine was not associated with any harm in terms of obstetric outcome, duration of the second stage of labor, obstetric intervention or neonatal outcome.",1764008
72,2680,obstetric intervention,Meperidine analgesia,epidural analgesia,no significant difference,"The higher intensity of the motor block of lidocaine was not associated with any harm in terms of obstetric outcome, duration of the second stage of labor, obstetric intervention or neonatal outcome.",1764008
73,2680,neonatal outcome,Meperidine analgesia,epidural analgesia,no significant difference,"The higher intensity of the motor block of lidocaine was not associated with any harm in terms of obstetric outcome, duration of the second stage of labor, obstetric intervention or neonatal outcome.",1764008
74,35535,continuous abstienence at week 12,varenicline,placebo,significantly increased,"Continuous abstinence was higher for varenicline than for placebo subjects at the end of treatment (Weeks 9–12: 53.1% vs. 19.3%; odds ratio [OR] 5.9; 95% CI, 3.7–9.4; p < .0001) and through 24 weeks follow-up (Weeks 9–24: 34.7% vs. 12.7%; OR 4.4; 95% CI, 2.6–7.5; p < .0001)",3281242
75,35535,continuous abstienence at 24 week follow up,varenicline,placebo,significantly increased,"Continuous abstinence was higher for varenicline than for placebo subjects at the end of treatment (Weeks 9–12: 53.1% vs. 19.3%; odds ratio [OR] 5.9; 95% CI, 3.7–9.4; p < .0001) and through 24 weeks follow-up (Weeks 9–24: 34.7% vs. 12.7%; OR 4.4; 95% CI, 2.6–7.5; p < .0001)",3281242
76,35535,frequency of quit events by day 35,varenicline,placebo,no significant difference,"By the end of the quit window (Day 35), 391 (80.5%) varenicline subjects and 121 (73.3%) placebo subjects reported making a quit attempt (p = .062). ",3281242
77,35535,time to make first quit attempt,varenicline,placebo,significantly decreased,"Varenicline-treated subjects made their first quit attempt significantly earlier than placebo-treated subjects (p = .0074), with a median of 17 versus 24 days, respectively (Figure 2).",3281242
78,36775,improved A1C,detemir,glargine,no significant difference,Improvements in A1C were −1.46 ± 1.09% for glargine and −1.54 ± 1.11% for detemir (P = 0.149),2875419
79,36775,number of patients with A1C <7%,detemir,glargine,no significant difference,with similar proportions of patients achieving A1C <7% (P = 0.254),2875419
80,36775,number of patients with A1C <6.5%,detemir,glargine,significantly increased,more detemir-treated patients reaching A1C <6.5% (P = 0.017),2875419
81,36775,Hypoglycemia,detemir,glargine,no significant difference,Hypoglycemia risk was similar.,2875419
82,36775,Weight Gain,glargine,detemir,significantly increased,"Weight gain was higher for glargine (difference: 0.77 kg, P < 0.001).",2875419
83,36775,frequency of insulin doses,glargine,detemir,significantly decreased,"Insulin doses, however, were significantly lower for glargine: 43.5 ± 29.0 versus 76.5 ± 50.5 units/day (P < 0.001) (Fig. 1B)",2875419
84,36775,drop-out rate,detemir,glargine,significantly decreased,"Detemir-treated patients had less weight gain and more often achieved A1C <6.5%, but the drop-out rate and daily insulin doses were lower in the glargine group.",2875419
85,43880,IVD comlication rates,routine replacement,staff inclination replacement,no significant difference,"IVD complication rates were 68 per 1,000 IVD days (clinically indicated) and 66 per 1,000 IVD days (routine replacement) (P = 0.86; HR 1.03; 95% CI, 0.74-1.43).",2944158
86,43880,time until first complication,routine replacement,staff inclination replacement,no significant difference,"Time to first complication per patient did not differ between groups (KM with log rank, P = 0.53).",2944158
87,43880,infections,routine replacement,staff inclination replacement,no significant difference,There were no local infections or IVD-related bloodstream infections in either group. ,2944158
88,43880,therapy duration,routine replacement,staff inclination replacement,no significant difference,IV therapy duration did not differ between groups (P = 0.22),2944158
89,43880,frequency of replacements,routine replacement,staff inclination replacement,significantly increased,"but more (P = 0.004) IVDs were placed per patient in the routine replacement (mean, 1.8) than the clinical indication group (mean, 1.5)",2944158
90,43880,cost per patient,routine replacement,staff inclination replacement,significantly increased,with significantly higher hospital costs per patient (P < 0.001).,2944158
91,43880,IVD complications per person,routine replacement,staff inclination replacement,no significant difference,,2944158
92,43880,phlebitis,routine replacement,staff inclination replacement,no significant difference,"There was no statistically significant difference in group outcomes for any phlebitis (P = 0.34), infiltration (P = 0.57), occlusion (P = 0.75), or accidental removal (P = 0.43)",2944158
93,43880,infiltration,routine replacement,staff inclination replacement,no significant difference,"There was no statistically significant difference in group outcomes for any phlebitis (P = 0.34), infiltration (P = 0.57), occlusion (P = 0.75), or accidental removal (P = 0.43)",2944158
94,43880,occlusion,routine replacement,staff inclination replacement,no significant difference,"There was no statistically significant difference in group outcomes for any phlebitis (P = 0.34), infiltration (P = 0.57), occlusion (P = 0.75), or accidental removal (P = 0.43)",2944158
95,43880,IVD dwell times,staff inclination replacement,routine replacement,significantly increased,"For individual IVD dwell times, the clinically indicated group devices had a median dwell time of 85 hours (quartiles 51 and 121 hours), and those replaced routinely had a median dwell time of 71 hours (quartiles 48 and 90 hours) (P < 0.001).",2944158
96,24976,frequency of healed index ucler after 1 year,HBOT ,placebo,significantly increased,complete healing of the index ulcer was achieved in 37 patients at 1-year of follow-up: 25/48 (52%) in the HBOT group and 12/42 (29%) in the placebo group (P = 0.03),2858204
97,24976,hypoglycemia occuring after treatment,HBOT ,placebo,no significant difference,"Hypoglycemia (symptoms and blood-glucose <3.0 mmol/l) within 6 h after treatment occurred in two and four patients in the HBOT and placebo groups, respectively (n.s.).",2858204
98,24976,downsizing of ucler area 2 weeks after treatment,HBOT ,placebo,significantly increased,"After two weeks of treatment, the reduction in ulcer area was doubled in the HBOT group (P = 0.037)",2858204
99,2871176,HbA1c level at 26 weeks,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride,Significantly decreased,"Liraglutide (1.2 or 1.8 mg) produced greater reductions in HbA1c from baseline, (−1.1%, baseline 8.5%) compared with placebo (+0.2%, P &lt; 0.0001, baseline 8.4%)",2871176
100,2871176,HbA1c level at 26 weeks,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride,Significantly decreased,"Liraglutide (1.2 or 1.8 mg) produced greater reductions in HbA1c from baseline, (−1.1%, baseline 8.5%) compared with placebo (+0.2%, P &lt; 0.0001, baseline 8.4%) or rosiglitazone (−0.4%, P &lt; 0.0001, baseline 8.4%) when added to glimepiride.",2871176
101,2871176,Fasting plasma glucose at week 26,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride,Significantly decreased,"Fasting plasma glucose decreased by week 2, with a 1.6 mmol/l decrease from baseline at week 26 with liraglutide 1.2 mg (baseline 9.8 mmol/l) or 1.8 mg (baseline 9.7 mmol/l) compared with a 0.9 mmol/l increase (placebo, P &lt; 0.0001, baseline 9.5 mmol/l)",2871176
102,2871176,Fasting plasma glucose at week 26,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride,Significantly decreased,"Fasting plasma glucose decreased by week 2, with a 1.6 mmol/l decrease from baseline at week 26 with liraglutide 1.2 mg (baseline 9.8 mmol/l) or 1.8 mg (baseline 9.7 mmol/l) compared with a 0.9 mmol/l increase (placebo, P &lt; 0.0001, baseline 9.5 mmol/l) or 1.0 mmol/l decrease (rosiglitazone, P &lt; 0.006, baseline 9.9 mmol/l).",2871176
103,2871176,Postprandial plasma glucose,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride,Significantly decreased,"Decreases in postprandial plasma glucose from baseline were greater with liraglutide 1.2 or 1.8 mg [−2.5 to −2.7 mmol/l (baseline 12.9 mmol/l for both)] compared with placebo (−0.4 mmol/l, P &lt; 0.0001, baseline 12.7 mmol/l)",2871176
104,2871176,Postprandial plasma glucose,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride,Significantly decreased,Treatment differences for PPG were greater with all doses of liraglutide compared with placebo (1.5–2.4 mmol/l; P &lt; 0.0001) and greater with liraglutide 1.2 mg (0.64 mmol/l; P = 0.043) and 1.8 mg (0.87 mmol/l;P = 0.0022) compared with rosiglitazone.,2871176
105,2871176,HbA1c level at 26 weeks,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride,Significantly decreased,"Liraglutide (1.2 or 1.8 mg) produced greater reductions in HbA1c from baseline, (−1.1%, baseline 8.5%) compared with placebo (+0.2%, P &lt; 0.0001, baseline 8.4%) or rosiglitazone (−0.4%, P &lt; 0.0001, baseline 8.4%) when added to glimepiride.",2871176
106,2871176,HbA1c level at 26 weeks,Liraglutide (0.6 mg) plus glimepiride,Placebo plus glimepiride,Significantly decreased,All liraglutide doses were superior to placebo (P &lt; 0.0001),2871176
107,2871176,HbA1c level at 26 weeks,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride,Significantly decreased,"Liraglutide (1.2 or 1.8 mg) produced greater reductions in HbA1c from baseline, (−1.1%, baseline 8.5%) compared with placebo (+0.2%, P &lt; 0.0001, baseline 8.4%) or rosiglitazone (−0.4%, P &lt; 0.0001, baseline 8.4%) when added to glimepiride.",2871176
108,2871176,HbA1c level at 26 weeks,Liraglutide (0.6 mg) plus glimepiride,Rosiglitazone plus glimepiride,No significant difference,Liraglutide 0.6 mg was non-inferior to rosiglitazone,2871176
109,2871176,HbA1c level at 26 weeks,Rosiglitazone plus glimepiride,Placebo plus glimepiride,Significantly decreased,Rosiglitazone also was superior to placebo (P &lt; 0.0001),2871176
110,2871176,Patients reaching HbA1c goals less than 7.0% and equal or less than 6.5%,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride,Significantly increased,The estimated proportion of subjects treated with either liraglutide 1.2 or 1.8 mg reaching ADA/EASD and IDF/AACE HbA1c targets was substantially greater compared with either placebo (P &lt; 0.0001),2871176
111,2871176,Patients reaching HbA1c goals less than 7.0% and equal or less than 6.5%,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride,Significantly increased,The estimated proportion of subjects treated with either liraglutide 1.2 or 1.8 mg reaching ADA/EASD and IDF/AACE HbA1c targets was substantially greater compared with either placebo (P &lt; 0.0001),2871176
112,2871176,Patients reaching HbA1c goals less than 7.0% and equal or less than 6.5%,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride,Significantly increased,The estimated proportion of subjects treated with either liraglutide 1.2 or 1.8 mg reaching ADA/EASD and IDF/AACE HbA1c targets was substantially greater compared with either placebo (P &lt; 0.0001) or rosiglitazone (Fig. 4; P ≤ 0.0003),2871176
113,2871176,Patients reaching HbA1c goals less than 7.0% and equal or less than 6.5%,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride,Significantly increased,The estimated proportion of subjects treated with either liraglutide 1.2 or 1.8 mg reaching ADA/EASD and IDF/AACE HbA1c targets was substantially greater compared with either placebo (P &lt; 0.0001) or rosiglitazone (Fig. 4; P ≤ 0.0003),2871176
114,2871176,Patients reaching HbA1c goals less than 7.0% ,Liraglutide (1.8 mg) plus glimepiride,Liraglutide (1.2 mg) plus glimepiride,Significantly increased,"The estimated proportion of subjects treated with either liraglutide 1.2 or 1.8 mg reaching ADA/EASD and IDF/AACE HbA1c targets was substantially greater compared with either placebo (P &lt; 0.0001) or rosiglitazone (Fig. 4; P ≤ 0.0003), with more patients reaching &lt; 7.0% with liraglutide 1.8 mg compared with 1.2 mg (P = 0.018).",2871176
115,2871176,Fasting plasma glucose at week 26,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride,Significantly decreased,"Fasting plasma glucose decreased by week 2, with a 1.6 mmol/l decrease from baseline at week 26 with liraglutide 1.2 mg (baseline 9.8 mmol/l) or 1.8 mg (baseline 9.7 mmol/l) compared with a 0.9 mmol/l increase (placebo, P &lt; 0.0001, baseline 9.5 mmol/l)",2871176
116,2871176,Fasting plasma glucose at week 26,Liraglutide (0.6 mg) plus glimepiride,Placebo plus glimepiride,Significantly decreased,"At week 26, all doses of liraglutide decreased FPG more than did placebo (Fig. 5; P &lt; 0.0001)",2871176
117,2871176,Fasting plasma glucose at week 26,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride,Significantly decreased,"Fasting plasma glucose decreased by week 2, with a 1.6 mmol/l decrease from baseline at week 26 with liraglutide 1.2 mg (baseline 9.8 mmol/l) or 1.8 mg (baseline 9.7 mmol/l) compared with a 0.9 mmol/l increase (placebo, P &lt; 0.0001, baseline 9.5 mmol/l) or 1.0 mmol/l decrease (rosiglitazone, P &lt; 0.006, baseline 9.9 mmol/l).",2871176
118,2871176,ADA fasting plasma glucose goals between 5.0 mmol/l and less than 7.2 mmol/l,Liraglutide (0.6 mg) plus glimepiride,Placebo plus glimepiride,Significantly increased,The percentage of subjects achieving FPG values between 5.0 mmol/l and ≤ 7.2 mmol/l (ADA target) after 26 weeks was higher with liraglutide: 0.6 mg (19%; P = 0.002); 1.2 mg (37%; P &lt; 0.001); and 1.8 mg (38%;P &lt; 0.001) compared with placebo (7%).,2871176
119,2871176,ADA fasting plasma glucose goals between 5.0 mmol/l and less than 7.2 mmol/l,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride,Significantly increased,The percentage of subjects achieving FPG values between 5.0 mmol/l and ≤ 7.2 mmol/l (ADA target) after 26 weeks was higher with liraglutide: 0.6 mg (19%; P = 0.002); 1.2 mg (37%; P &lt; 0.001); and 1.8 mg (38%;P &lt; 0.001) compared with placebo (7%).,2871176
120,2871176,ADA fasting plasma glucose goals between 5.0 mmol/l and less than 7.2 mmol/l,Liraglutide (1.8 mg) plus glimepiride,Placebo plus glimepiride,Significantly increased,The percentage of subjects achieving FPG values between 5.0 mmol/l and ≤ 7.2 mmol/l (ADA target) after 26 weeks was higher with liraglutide: 0.6 mg (19%; P = 0.002); 1.2 mg (37%; P &lt; 0.001); and 1.8 mg (38%;P &lt; 0.001) compared with placebo (7%).,2871176
121,2871176,ADA fasting plasma glucose goals between 5.0 mmol/l and less than 7.2 mmol/l,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride,Significantly increased,"The percentage of subjects achieving FPG values between 5.0 mmol/l and ≤ 7.2 mmol/l (ADA target) after 26 weeks was higher with liraglutide: 0.6 mg (19%; P = 0.002); 1.2 mg (37%; P &lt; 0.001); and 1.8 mg (38%;P &lt; 0.001) compared with placebo (7%). The liraglutide 1.2 and 1.8 mg treatment groups also had more subjects achieving the same FPG target at end of treatment compared with rosiglitazone (26%) (P = 0.007 and P = 0.01, respectively).",2871176
