,review_name,pmid,outcome_name,comparison_name,metric,intervention1,intervention2,estimate,lower,upper,result_str,direction,XML_file_names
5376,CD001544 v. 8.0 Mechanical bowel preparation for elective colorectal surgery.rm5,20433721,Wound infection,Mechanical bowel preparation versus rectal enema,OR,Preparation,Enema,1.98470948,0.7098078640000001,5.549490112999999,no sig diff,,PMC2873340.nxml
4655,CD001220 v. 8.2 Population-based biomedical sexually transmitted infection control interventions for reducing HIV in.rm5,17388666,HIV incidence,Any intervention vs control,RR,Favours treatment,Control,1.36305259,0.900382125,2.063470955,no sig diff,,PMC1831737.nxml
4659,CD001220 v. 8.2 Population-based biomedical sexually transmitted infection control interventions for reducing HIV in.rm5,17388666,HIV incidence,Improved STI syndromic management vs. usual care,RR,Treatment,Control,1.36305259,0.900382125,2.063470955,no sig diff,,PMC1831737.nxml
14056,CD003860 v. 8.4 Fraction size in radiation treatment for breast conservation in early breast cancer.rm5,18356109,Local recurrence at 5 years (raw data from authors),Unconventional fractionation versus conventional fractionation,RR,Hypofractionation,Conventional,1.190560616,0.7288678820000001,1.944707149,no sig diff,,PMC2323709.nxml
14059,CD003860 v. 8.4 Fraction size in radiation treatment for breast conservation in early breast cancer.rm5,18356109,Local recurrence at 5 years data from paper,Unconventional fractionation versus conventional fractionation,RR,Hypofractionation,Conventional,1.188728985,0.7508695759999999,1.881920169,no sig diff,,PMC2323709.nxml
14064,CD003860 v. 8.4 Fraction size in radiation treatment for breast conservation in early breast cancer.rm5,18356109,Deaths at 5 years,Unconventional fractionation versus conventional fractionation,RR,Unconventional,Conventional,1.031383098,0.806727836,1.318599715,no sig diff,,PMC2323709.nxml
14066,CD003860 v. 8.4 Fraction size in radiation treatment for breast conservation in early breast cancer.rm5,18356109,Acute skin toxicity,Unconventional fractionation versus conventional fractionation,RR,Unconventional,Conventional,0.10080645199999999,0.004845779000000001,2.0970705819999997,no sig diff,,PMC2323709.nxml
14070,CD003860 v. 8.4 Fraction size in radiation treatment for breast conservation in early breast cancer.rm5,18356109,Ischaemic heart disease (left sided tumours),Unconventional fractionation versus conventional fractionation,RR,Unconventional,Conventional,2.014794889,0.22559170399999998,17.99444913,no sig diff,,PMC2323709.nxml
14071,CD003860 v. 8.4 Fraction size in radiation treatment for breast conservation in early breast cancer.rm5,18356109,Rib fractures at 5 years,Unconventional fractionation versus conventional fractionation,RR,Unconventional,Conventional,1.5110961669999998,0.15745246699999998,14.50222834,no sig diff,,PMC2323709.nxml
14706,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,All studies (longest follow-up),Mortality,RR,Protocol,Control,1.0,0.150543214,6.642610943999999,no sig diff,,PMC2875533.nxml
14736,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,All studies (hospital or 28 day),Mortality,RR,Protocol,Control,1.0,0.150543214,6.642610943999999,no sig diff,,PMC2875533.nxml
14765,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Renal impairment,Complications,RR,Protocol,Control,0.2,0.024823142000000003,1.611399545,no sig diff,,PMC2875533.nxml
14779,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Arrhythmia,Complications,RR,Protocol,Control,0.666666667,0.11983975,3.708656297,no sig diff,,PMC2875533.nxml
14799,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Respiratory failure / ARDS,Complications,RR,Protocol,Control,0.666666667,0.11983975,3.708656297,no sig diff,,PMC2875533.nxml
14811,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Myocardial infarction,Complications,RR,Protocol,Control,0.2,0.010004586,3.998166513,no sig diff,,PMC2875533.nxml
14825,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Congestive heart failure / pulmonary oedema,Complications,RR,Protocol,Control,0.2,0.010004586,3.998166513,no sig diff,,PMC2875533.nxml
14837,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Venous thrombosis,Complications,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC2875533.nxml
14851,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Number of participants with complications,Complications,RR,Protocol,Control,0.4,0.179704278,0.890351647,sig diff, neg,PMC2875533.nxml
14871,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Mortality (Longest follow-up),Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,1.0,0.150543214,6.642610943999999,no sig diff,,PMC2875533.nxml
14898,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Mortality (Hospital or 28 days),Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,1.0,0.150543214,6.642610943999999,no sig diff,,PMC2875533.nxml
14924,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Renal Impairment,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.2,0.024823142000000003,1.611399545,no sig diff,,PMC2875533.nxml
14936,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Arrhythmia,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.666666667,0.11983975,3.708656297,no sig diff,,PMC2875533.nxml
14955,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Respiratory Failure/ ARDS,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.666666667,0.11983975,3.708656297,no sig diff,,PMC2875533.nxml
14966,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Myocardial Infarction,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.2,0.010004586,3.998166513,no sig diff,,PMC2875533.nxml
14979,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Congestive Heart Failure/ Pulmonary oedema,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.2,0.010004586,3.998166513,no sig diff,,PMC2875533.nxml
14990,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Venous Thrombosis,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC2875533.nxml
15003,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Number of patients with complications,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.4,0.179704278,0.890351647,sig diff, neg,PMC2875533.nxml
15127,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Mortality (Longest Follow-up)- excluding patients lost follow-up,Sensitivity analysis: Sandham 2003,RR,Protocol,Control,1.0,0.150543214,6.642610943999999,no sig diff,,PMC2875533.nxml
15157,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,20156348,Mortality (Longest Follow-up)- if all patients lost follow-up have died,Sensitivity analysis: Sandham 2003,RR,Protocol,Control,1.0,0.150543214,6.642610943999999,no sig diff,,PMC2875533.nxml
20949,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,Continuous or sustained abstinence at longest follow-up (24+ weeks),Varenicline (1.0mg 2/d) vs placebo,RR,Varenicline,Control,2.7418139669999997,1.805681506,4.163272318,sig diff, pos,PMC3281242.nxml
20979,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,Nausea,Adverse event meta-analyses,RR,Varenicline,Placebo,3.21399177,1.945567235,5.309373488,sig diff, pos,PMC3281242.nxml
20991,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,Insomnia,Adverse event meta-analyses,RR,Varenicline,Placebo,2.433127572,1.0549338240000001,5.611830475,sig diff, pos,PMC3281242.nxml
21002,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,Abnormal dreams,Adverse event meta-analyses,RR,Varenicline,Placebo,4.141975308999999,1.693335923,10.13145662,sig diff, pos,PMC3281242.nxml
21014,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,Headache,Adverse event meta-analyses,RR,Varenicline,Placebo,0.933641975,0.577522554,1.509356357,no sig diff,,PMC3281242.nxml
21024,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,SAEs in the varenicline trials,Serious Adverse Events,RR,Varenicline,placebo,2.020283976,0.245012413,16.65853288,no sig diff,,PMC3281242.nxml
21038,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,"SAEs in the varenicline trials, exc post-treat events",Serious Adverse Events,RR,varenicline better,placebo,2.020283976,0.245012413,16.65853288,no sig diff,,PMC3281242.nxml
21052,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,Neuropsychiatric SAEs (not deaths),Serious Adverse Events,RR,varenicline,placebo,0.11268556,0.0046126629999999995,2.7528641289999998,no sig diff,,PMC3281242.nxml
21066,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,"Cardiac SAEs, including deaths",Serious Adverse Events,RR,varenicline,placebo,1.6902834009999999,0.08156179599999999,35.02936547,no sig diff,,PMC3281242.nxml
21080,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,ITT treatment vs per protocol control,Sensitivity analysis,RR,Treatment,Control,2.180237612,1.446214745,3.2868120469999997,sig diff, pos,PMC3281242.nxml
21091,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,Continuous abstinence at 9-12 weeks),Sensitivity analysis,RR,Treatment,Control,2.7568458419999997,1.9976010709999998,3.8046630560000003,sig diff, pos,PMC3281242.nxml
21103,CD006103 v. 12.0 Nicotine receptor partial agonists for smoking cessation.rm5,22080588,Continuous abstinence at 24 weeks),Sensitivity analysis,RR,Treatment,Control,2.7418139669999997,1.805681506,4.163272318,sig diff, pos,PMC3281242.nxml
12026,CD003407 v. 13.2 Erythropoietin or darbepoetin for patients with cancer.rm5,20798194,Participants receiving red blood cell transfusions - overall,Participants receiving red blood cell transfusions,RR,Treatment,Control,0.45275181700000006,0.20569356600000002,0.996551385,sig diff, neg,PMC3228044.nxml
12086,CD003407 v. 13.2 Erythropoietin or darbepoetin for patients with cancer.rm5,20798194,Participants receiving red blood cell transfusions - experimental arms merged,Participants receiving red blood cell transfusions,RR,Treatment,Control,0.45275181700000006,0.20569356600000002,0.996551385,sig diff, neg,PMC3228044.nxml
12144,CD003407 v. 13.2 Erythropoietin or darbepoetin for patients with cancer.rm5,20798194,Thrombotic events - overall,Thrombotic events,RR,Treatment,Control,4.073394495,0.46262744899999997,35.8658846,no sig diff,,PMC3228044.nxml
12175,CD003407 v. 13.2 Erythropoietin or darbepoetin for patients with cancer.rm5,20798194,Thrombotic events - experimental arms merged,Thrombotic events,RR,Treatment,Control,4.073394495,0.46262744899999997,35.8658846,no sig diff,,PMC3228044.nxml
28657,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Macrosomia (birthweight greater than 4000 g),Low-moderate GI food versus high-moderate food,RR,Low/ moderate GI diet,High/ mixed GI diet,0.516129032,0.049267597999999996,5.4069852670000005,no sig diff,,PMC2681032.nxml
28659,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Large-for-gestational age (birthweight ä´ 90th percentile for gestational age),Low-moderate GI food versus high-moderate food,RR,Low/ moderate GI diet,High/ mixed GI diet,1.032258065,0.22527717600000002,4.729980769,no sig diff,,PMC2681032.nxml
28660,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Caesarean section,Low-moderate GI food versus high-moderate food,RR,Low/ moderate GI diet,High/ mixed GI diet,0.656891496,0.292595648,1.474753435,no sig diff,,PMC2681032.nxml
28661,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Operative vaginal birth,Low-moderate GI food versus high-moderate food,RR,Low/moderate GI diet,High/mixed GI diet,0.619354839,0.161619456,2.373479193,no sig diff,,PMC2681032.nxml
28662,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Normal vaginal birth,Low-moderate GI food versus high-moderate food,RR,Low/moderate GI diet,High/mixed GI diet,1.35483871,0.887394606,2.068513732,no sig diff,,PMC2681032.nxml
28663,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Small-for-gestational age,Low-moderate GI food versus high-moderate food,RR,Low/ moderate GI diet,High/ mixed GI diet,5.15625,0.257441255,103.2737121,no sig diff,,PMC2681032.nxml
28664,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Induction of labour,Low-moderate GI food versus high-moderate food,RR,low/moderate GI diet,high/mixed GI diet,0.884792627,0.334692321,2.339037807,no sig diff,,PMC2681032.nxml
28665,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Preterm birth (< 37 weeks' gestation),Low-moderate GI food versus high-moderate food,RR,low/moderate GI diet,high/mixed GI diet,0.516129032,0.049267597999999996,5.4069852670000005,no sig diff,,PMC2681032.nxml
28668,CD009275 v. 2.0 Different types of dietary advice for women with gestational diabetes mellitus.rm5,19279301,Insulin or oral hypoglycaemic agent required for hyperglycaemia,Low-moderate GI food versus high-moderate food,RR,Low/ moderate GI diet,High/ mixed GI diet,0.929032258,0.437528618,1.972673102,no sig diff,,PMC2681032.nxml
14698,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,All studies (longest follow-up),Mortality,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC3218998.nxml
14728,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,All studies (hospital or 28 day),Mortality,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC3218998.nxml
14758,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Renal impairment,Complications,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC3218998.nxml
14776,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Arrhythmia,Complications,RR,Protocol,Control,0.111111111,0.0063730819999999995,1.937159824,no sig diff,,PMC3218998.nxml
14809,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Myocardial infarction,Complications,RR,Protocol,Control,0.2,0.010204302,3.919915521,no sig diff,,PMC3218998.nxml
14835,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Venous thrombosis,Complications,RR,Protocol,Control,1.0,0.067096465,14.90391472,no sig diff,,PMC3218998.nxml
14845,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Number of participants with complications,Complications,RR,Protocol,Control,0.804878049,0.637502633,1.016197643,no sig diff,,PMC3218998.nxml
14864,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Mortality (Longest follow-up),Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC3218998.nxml
14891,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Mortality (Hospital or 28 days),Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC3218998.nxml
14918,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Renal Impairment,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC3218998.nxml
14934,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Arrhythmia,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.111111111,0.0063730819999999995,1.937159824,no sig diff,,PMC3218998.nxml
14964,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Myocardial Infarction,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.2,0.010204302,3.919915521,no sig diff,,PMC3218998.nxml
14989,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Venous Thrombosis,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,1.0,0.067096465,14.90391472,no sig diff,,PMC3218998.nxml
14998,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Number of patients with complications,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.804878049,0.637502633,1.016197643,no sig diff,,PMC3218998.nxml
15119,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Mortality (Longest Follow-up)- excluding patients lost follow-up,Sensitivity analysis: Sandham 2003,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC3218998.nxml
15149,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,21624138,Mortality (Longest Follow-up)- if all patients lost follow-up have died,Sensitivity analysis: Sandham 2003,RR,Protocol,Control,0.0,0.0,0.0,sig diff, neg,PMC3218998.nxml
14710,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,All studies (longest follow-up),Mortality,RR,Protocol,Control,0.752688172,0.299435739,1.892023596,no sig diff,,PMC1414018.nxml
14740,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,All studies (hospital or 28 day),Mortality,RR,Protocol,Control,0.829493088,0.295827537,2.325878077,no sig diff,,PMC1414018.nxml
14781,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Arrhythmia,Complications,RR,Protocol,Control,0.537634409,0.191174741,1.511971486,no sig diff,,PMC1414018.nxml
14801,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Respiratory failure / ARDS,Complications,RR,Protocol,Control,0.967741935,0.140809595,6.650998867,no sig diff,,PMC1414018.nxml
14813,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Myocardial infarction,Complications,RR,Protocol,Control,0.138321995,0.00729644,2.622234042,no sig diff,,PMC1414018.nxml
14826,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Congestive heart failure / pulmonary oedema,Complications,RR,Protocol,Control,0.725806452,0.16952915699999999,3.1074006069999998,no sig diff,,PMC1414018.nxml
14838,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Venous thrombosis,Complications,RR,Protocol,Control,0.32275132300000003,0.013405926,7.770326233,no sig diff,,PMC1414018.nxml
14854,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Number of participants with complications,Complications,RR,Protocol,Control,0.63729347,0.457413278,0.887912499,sig diff, neg,PMC1414018.nxml
14875,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Mortality (Longest follow-up),Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.752688172,0.299435739,1.892023596,no sig diff,,PMC1414018.nxml
14902,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Mortality (Hospital or 28 days),Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.829493088,0.295827537,2.325878077,no sig diff,,PMC1414018.nxml
14938,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Arrhythmia,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.537634409,0.191174741,1.511971486,no sig diff,,PMC1414018.nxml
14957,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Respiratory Failure/ ARDS,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.967741935,0.140809595,6.650998867,no sig diff,,PMC1414018.nxml
14968,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Myocardial Infarction,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.138321995,0.00729644,2.622234042,no sig diff,,PMC1414018.nxml
14980,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Congestive Heart Failure/ Pulmonary oedema,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.725806452,0.16952915699999999,3.1074006069999998,no sig diff,,PMC1414018.nxml
14991,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Venous Thrombosis,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.32275132300000003,0.013405926,7.770326233,no sig diff,,PMC1414018.nxml
15006,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Number of patients with complications,Sensitivity analysis: excluding studies with active controls,RR,Protocol,Control,0.63729347,0.457413278,0.887912499,sig diff, neg,PMC1414018.nxml
15022,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Mortality (Longest follow-up),Sensitivity analysis: excluding poorly-controlled studies,RR,Protocol,Control,0.752688172,0.299435739,1.892023596,no sig diff,,PMC1414018.nxml
15043,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Mortality (Hospital or 28 day),Sensitivity analysis: excluding poorly-controlled studies,RR,Protocol,Control,0.829493088,0.295827537,2.325878077,no sig diff,,PMC1414018.nxml
15067,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Arrhythmia,Sensitivity analysis: excluding poorly-controlled studies,RR,Protocol,Control,0.537634409,0.191174741,1.511971486,no sig diff,,PMC1414018.nxml
15081,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Respiratory Failure/ ARDS,Sensitivity analysis: excluding poorly-controlled studies,RR,Protocol,Control,0.967741935,0.140809595,6.650998867,no sig diff,,PMC1414018.nxml
15087,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Myocardial Infarction,Sensitivity analysis: excluding poorly-controlled studies,RR,Protocol,Control,0.138321995,0.00729644,2.622234042,no sig diff,,PMC1414018.nxml
15093,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Congestive Heart Failure/ Pulmonary oedema,Sensitivity analysis: excluding poorly-controlled studies,RR,Protocol,Control,0.725806452,0.16952915699999999,3.1074006069999998,no sig diff,,PMC1414018.nxml
15099,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Venous Thrombosis,Sensitivity analysis: excluding poorly-controlled studies,RR,Protocol,Control,0.32275132300000003,0.013405926,7.770326233,no sig diff,,PMC1414018.nxml
15110,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Number of patients with complications,Sensitivity analysis: excluding poorly-controlled studies,RR,Protocol,Control,0.63729347,0.457413278,0.887912499,sig diff, neg,PMC1414018.nxml
15131,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Mortality (Longest Follow-up)- excluding patients lost follow-up,Sensitivity analysis: Sandham 2003,RR,Protocol,Control,0.752688172,0.299435739,1.892023596,no sig diff,,PMC1414018.nxml
15161,CD004082 v. 11.0 Perioperative increase in global blood flow to explicit defined goals and outcomes following surgery.rm5,16356219,Mortality (Longest Follow-up)- if all patients lost follow-up have died,Sensitivity analysis: Sandham 2003,RR,Protocol,Control,0.752688172,0.299435739,1.892023596,no sig diff,,PMC1414018.nxml
24128,CD007483 v. 3.0 Artemisinin-based combination therapy for treating uncomplicated malaria.rm5,19017387,Gametocyte development (in those negative at baseline),Dihydroartemisinin-piperaquine vs Artemether-lumefantrine,RR,DHA-P,AL6,3.177083333,0.917904233,10.99663575,no sig diff,,PMC2600646.nxml
